island,frequency,task,power,time
big,1700000,gzip-5,1356286.0131578948,2.61
big,1800000,gzip-5,1545355.7916666667,2.47
big,1900000,gzip-5,1812033.6885964912,2.34
big,2000000,gzip-5,2176490.1206140355,2.228
big,200000,gzip-9,94377.20833333334,22.376666666666665
big,300000,gzip-9,140846.39912280702,14.793333333333331
big,400000,gzip-9,187909.40350877194,11.058333333333335
big,500000,gzip-9,233091.83771929826,8.833333333333334
big,600000,gzip-9,281947.1271929824,7.358333333333334
big,700000,gzip-9,328513.197368421,6.301666666666667
big,800000,gzip-9,382288.73245614034,5.513333333333332
big,900000,gzip-9,448086.9254385965,4.903333333333333
big,1000000,gzip-9,521125.3377192982,4.415
big,1100000,gzip-9,606908.1271929825,4.013333333333333
big,1200000,gzip-9,697227.8442982455,3.6833333333333336
big,1300000,gzip-9,794038.0241228071,3.401666666666667
big,1400000,gzip-9,906365.0219298245,3.1633333333333336
big,1500000,gzip-9,1013537.5021929825,2.953333333333333
big,1600000,gzip-9,1179957.5021929825,2.77
big,1700000,gzip-9,1357932.3991228072,2.61
big,1800000,gzip-9,1544996.4232456142,2.47
big,1900000,gzip-9,1818454.7828947366,2.344
big,2000000,gzip-9,2179855.986842105,2.224
big,200000,hash,90555.05482456142,21.355
big,300000,hash,135316.47587719298,14.141666666666666
big,400000,hash,177753.41008771933,10.575
big,500000,hash,221233.21491228067,8.463333333333333
big,600000,hash,266232.02192982455,7.056666666666666
big,700000,hash,310375.1271929824,6.056666666666668
big,800000,hash,361923.6228070175,5.298333333333333
big,900000,hash,418523.0350877193,4.721666666666667
big,1000000,hash,492042.19298245606,4.255
big,1100000,hash,566837.2236842106,3.876666666666667
big,1200000,hash,653320.0328947367,3.556666666666667
big,1300000,hash,748902.8201754387,3.2949999999999995
big,1400000,hash,845972.2346491228,3.0716666666666668
big,1500000,hash,951548.519736842,2.873333333333333
big,1600000,hash,1103155.0328947366,2.695
big,1700000,hash,1261471.664473684,2.544
big,1800000,hash,1438388.2894736843,2.414
big,1900000,hash,1692380.3267543858,2.294
big,2000000,hash,2044118.835526316,2.176
big,200000,idle,29714.405701754386,0.0
big,300000,idle,36667.20614035088,0.0
big,400000,idle,43959.65131578947,0.0
big,500000,idle,49942.20394736842,0.0
big,600000,idle,55386.11184210526,0.0
big,700000,idle,62486.72149122807,0.0
big,800000,idle,70789.28289473684,0.0
big,900000,idle,82052.88596491228,0.0
big,1000000,idle,95939.98903508772,0.0
big,1100000,idle,110361.93421052632,0.0
big,1200000,idle,123850.00877192985,0.0
big,1300000,idle,143356.77850877194,0.0
big,1400000,idle,161186.93640350876,0.0
big,1500000,idle,182163.88377192983,0.0
big,1600000,idle,210462.20175438595,0.0
big,1700000,idle,240915.07675438595,0.0
big,1800000,idle,282202.83771929826,0.0
big,1900000,idle,325980.44736842107,0.0
big,2000000,idle,412970.99342105264,0.0
little,200000,cachekiller,10721.486842105263,6.263333333333333
little,300000,cachekiller,13950.186403508771,4.845
little,400000,cachekiller,16070.74561403509,4.346666666666667
