howmany,island,frequency,task,power,time
1,little,1200000,idle,65394.866228070176,0.0
1,little,1300000,idle,79200.67543859649,0.0
1,little,1400000,idle,93324.00438596492,0.0
1,little,1500000,idle,109331.9846491228,0.0
2,big,200000,decrypt,175764.34649122806,0.5974696497511511
2,big,300000,decrypt,256935.1421052631,0.3948090608865529
2,big,400000,decrypt,338161.0558479532,0.2950834922554536
2,big,500000,decrypt,413309.1356725146,0.2354062979673473
2,big,600000,decrypt,488716.19663742685,0.1959160891204241
2,big,700000,decrypt,569842.4,0.1679613005256058
2,big,800000,decrypt,667020.7878654973,0.1469370668403181
2,big,900000,decrypt,794934.6688596491,0.1306107260802828
2,big,1000000,decrypt,933829.6267543859,0.1176333782966649
2,big,1100000,decrypt,1088096.1260233917,0.1070282338713428
2,big,1200000,decrypt,1251501.446491228,0.0981440997255686
2,big,1300000,decrypt,1434914.217105263,0.0906088655286292
2,big,1400000,decrypt,1626892.1653508772,0.0844225312805246
2,big,1500000,decrypt,1843943.2809941522,0.0787943625284897
2,big,1600000,decrypt,2128112.0795321637,0.0740034420205591
2,big,1700000,decrypt,2450624.914473684,0.0696590539094841
2,big,1800000,decrypt,2823262.967982456,0.0658635285362109
2,big,1900000,decrypt,3334849.756140351,0.0624587190101865
2,big,2000000,decrypt,3838951.416666667,0.0593329922321968
2,big,200000,encrypt,175015.32426900583,0.6105618293425801
2,big,300000,encrypt,254012.359502924,0.4040110585258422
2,big,400000,encrypt,331535.60891812865,0.3015791200037487
2,big,500000,encrypt,405440.992251462,0.2408040860315823
2,big,600000,encrypt,478426.99576023396,0.2005060681317651
2,big,700000,encrypt,554479.2602339181,0.1716414413570123
2,big,800000,encrypt,649974.8514619883,0.1502272620776908
2,big,900000,encrypt,771447.228508772,0.1336863314746263
2,big,1000000,encrypt,905923.198976608,0.1202848976149196
2,big,1100000,encrypt,1053759.1116959066,0.10936694625369
2,big,1200000,encrypt,1211561.397222222,0.1004638957874514
2,big,1300000,encrypt,1388686.7887426899,0.0926854411695796
2,big,1400000,encrypt,1576617.413596491,0.0862658732018181
2,big,1500000,encrypt,1774393.4523391812,0.0805960357996345
2,big,1600000,encrypt,2058034.4109649123,0.0756290708026802
2,big,1700000,encrypt,2372661.0279239765,0.0712993767864673
2,big,1800000,encrypt,2722872.5707602333,0.0673632913171829
2,big,1900000,encrypt,3216862.9979532165,0.0639332739796635
2,big,2000000,encrypt,3752341.442251462,0.0607844056042359
2,big,200000,gzip-1,190761.1600877193,0.6780987394957984
2,big,300000,gzip-1,277016.42485380115,0.4482142857142858
2,big,400000,gzip-1,362675.9157894737,0.3346638655462184
2,big,500000,gzip-1,438768.0498538012,0.2672794117647059
2,big,600000,gzip-1,521667.3597953216,0.2225840336134454
2,big,700000,gzip-1,607290.1000000001,0.1906512605042017
2,big,800000,gzip-1,702411.2228070175,0.1667542016806722
2,big,900000,gzip-1,843517.8660818714,0.1483718487394958
2,big,1000000,gzip-1,981803.2862573098,0.1335609243697479
2,big,1100000,gzip-1,1156960.7238304093,0.1214285714285714
2,big,1200000,gzip-1,1329446.2119883043,0.1114495798319327
2,big,1300000,gzip-1,1511558.2383040935,0.1028886554621848
2,big,1400000,gzip-1,1709126.2662280698,0.0956932773109243
2,big,1500000,gzip-1,1949327.2747076019,0.089390756302521
2,big,1600000,gzip-1,2245348.5921052634,0.0837710084033613
2,big,1700000,gzip-1,2569526.535233918,0.0790336134453781
2,big,1800000,gzip-1,2965955.893274854,0.0746848739495798
2,big,1900000,gzip-1,3472789.6603801167,0.0708403361344538
2,big,2000000,gzip-1,3875890.4755847957,0.0673739495798319
2,big,200000,gzip-5,193553.02997076025,0.644254337482578
2,big,300000,gzip-5,281220.19444444444,0.4262507809871677
2,big,400000,gzip-5,370015.1583333333,0.318931128946989
2,big,500000,gzip-5,448785.3447368421,0.2547219685682703
2,big,600000,gzip-5,532083.5027777777,0.2120920843946748
2,big,700000,gzip-5,616248.2251461989,0.1817657519104147
2,big,800000,gzip-5,724316.1093567251,0.1589368962368433
2,big,900000,gzip-5,860231.1627192983,0.1413947229297832
2,big,1000000,gzip-5,1008923.4476608188,0.1272168020377757
2,big,1100000,gzip-5,1176116.278216374,0.1157302830778103
2,big,1200000,gzip-5,1350416.6469298245,0.1061181333205171
2,big,1300000,gzip-5,1544775.2633040934,0.0980439275243908
2,big,1400000,gzip-5,1755745.7684210525,0.0911712404479261
2,big,1500000,gzip-5,1984212.1339181284,0.0852117075984043
2,big,1600000,gzip-5,2296105.117251462,0.0798769644831066
2,big,1700000,gzip-5,2642206.1513157897,0.0752631325996058
2,big,1800000,gzip-5,3054576.0159356724,0.0712260297015427
2,big,1900000,gzip-5,3514396.6491228067,0.0674772912961984
2,big,2000000,gzip-5,3888127.940204679,0.0642476089777478
2,big,200000,gzip-9,193718.41900584794,0.6456359701851406
2,big,300000,gzip-9,281739.9274853801,0.4268333734070689
