power,island,task,time,howmany,frequency,time_rel
2406672.448979592,cpu,cacherate-100,3.296852068048696,4,1199999,1.4271382454376869
2557767.5840978594,cpu,cacherate-20,5.012968813640001,4,1199999,0.6187230611781821
2461192.660550459,cpu,cacherate-40,4.297402369074699,4,1199999,1.0142037990159505
2427670.744138634,cpu,cacherate-60,4.109568929931,4,1199999,1.3493975020627236
2415250.0,cpu,cacherate-80,3.427095813710577,4,1199999,1.4739311320573254
2204786.0,cpu,decrypt,3.5042383673515785,4,1199999,0.21731021267510434
2204811.0,cpu,encrypt,3.4884749083663165,4,1199999,0.21727594991110685
2269596.5965965968,cpu,gzip-1,4.601210796125,4,1199999,0.2407991684715767
2267812.060301508,cpu,gzip-5,5.222035935732394,4,1199999,0.25871410900479036
2268757.3011077545,cpu,gzip-9,5.2364214999297305,4,1199999,0.2593664840186362
2192679.67967968,cpu,hash,2.203741974257143,4,1199999,0.19552229270237886
1622586.0,cpu,idle,2.0023419231435,4,1199999,0.9989170954296304
2077301.4256619145,cpu,cachekiller,4.3909754843927935,4,299999,1.8844268699348485
1742602.0304568529,cpu,cacherate-0,11.562582455896427,4,299999,1.026254779740994
2080861.788617886,cpu,cacherate-100,4.288860049051724,4,299999,1.856557734164329
2007503.0425963488,cpu,cacherate-20,9.3131206271175,4,299999,1.1494670558997055
2122233.977619532,cpu,cacherate-40,5.428425104881053,4,299999,1.2811295967217877
2091955.2390640893,cpu,cacherate-60,4.636507433195369,4,299999,1.5224203937988525
2084846.6195761857,cpu,cacherate-80,4.429809026559223,4,299999,1.9051797172384504
1743032.0,cpu,decrypt,15.995536695565,4,299999,0.9919397931233601
1741377.0,cpu,encrypt,15.890653910389997,4,299999,0.9897324801758545
1762229.4589178355,cpu,gzip-1,20.133714571825003,4,299999,1.0536752046271212
1759307.0,cpu,gzip-5,20.764997364645,4,299999,1.0287554237076497
1759887.0,cpu,gzip-9,20.832298666635,4,299999,1.0318497201311527
1745209.62888666,cpu,hash,11.417111777920589,4,299999,1.0129588204675595
1601817.0,cpu,idle,2.006373529249,4,299999,1.0009283604459969
2163219.2893401016,cpu,cachekiller,4.255209383244737,4,399999,1.8261616188672787
1799684.2105263155,cpu,cacherate-0,8.510445786295,4,399999,0.7553576979213613
2161765.720081136,cpu,cacherate-100,3.348037757637815,4,399999,1.4492954589625777
2143268.537074148,cpu,cacherate-20,6.650626321236666,4,399999,0.8208500848900847
2212767.9837892605,cpu,cacherate-40,4.44074200524625,4,399999,1.0480325148469174
2184362.436548224,cpu,cacherate-60,4.284066884781481,4,399999,1.4066947778610022
2170061.92893401,cpu,cacherate-80,4.017075697766667,4,399999,1.7276706729592537
1797464.0,cpu,decrypt,11.98693533917,4,399999,0.7433522479940389
1797375.0,cpu,encrypt,11.712854377724998,4,399999,0.7295226790902946
1820865.4434250763,cpu,gzip-1,14.780587320085,4,399999,0.7735253379817785
1818440.3669724767,cpu,gzip-5,15.464045127034998,4,399999,0.7661315827558777
1819304.7910295613,cpu,gzip-9,15.519008969980002,4,399999,0.7686758585135678
1806720.4968944096,cpu,hash,8.396055804107501,4,399999,0.7449220914483804
1603172.0,cpu,idle,2.003420447535,4,399999,0.9994551436221268
2232174.0442655934,cpu,cachekiller,4.154592317193578,4,599999,1.7829808943301586
1900213.2796780684,cpu,cacherate-0,5.402073308566668,4,599999,0.47946932050639196
2231055.387713998,cpu,cacherate-100,3.3953197238835937,4,599999,1.4697628323709282
2347215.3061224488,cpu,cacherate-20,5.289489834001449,4,599999,0.6528525238895048
