howmany,island,frequency,task,meas_power,meas_time,pred_power,pred_time,time_error,power_error
2,cpu,599999,cacherate-40,2102852.0,3.173110919725,2713141.0,2.280774004245714,-28.121831793910975,29.021966358069896
2,cpu,1199999,cacherate-40,2217942.0,2.1070382885516667,2963619.0,2.3028349338875005,9.29250533318121,33.620220907489916
2,cpu,299999,cacherate-60,1975180.0,3.21668149219,2403276.0,3.045484317,-5.322167445103327,21.67377150436922
2,cpu,399999,cacherate-60,2023725.0,2.1319930252866666,2514486.0,2.293333313642857,7.567580495930412,24.250379868806284
2,cpu,599999,cacherate-60,2081826.0,2.288996777514286,2656969.0,2.2921945818575,0.13970331346147866,27.62685258037896
2,cpu,1199999,cacherate-60,2199723.0,2.326859653401428,2894919.0,2.134620942866667,-8.261723488726291,31.60379738721648
2,cpu,299999,cacherate-80,1971683.3166833168,2.11756006266,2382914.8851148835,2.2924810600857146,8.260497565579577,20.856877215116025
2,cpu,399999,cacherate-80,2019486.0,2.3099359802728565,2502790.0,2.3251397159425,0.658188616458868,23.932030229474233
2,cpu,599999,cacherate-80,2079057.0,2.3218227729425003,2608581.0,2.195356720171111,-5.446843499218325,25.469431574026107
2,cpu,1199999,cacherate-80,2194659.0,2.2651218640412503,2894279.0,1.189431671908,-47.48928564108641,31.87830091144
2,cpu,299999,decrypt,1686075.0,15.72856420303,1748288.0,16.1255116555,2.5237360978793544,3.6898121376569843
2,cpu,399999,decrypt,1712561.0,11.7818786961,1785202.0,12.079689256799998,2.5277001094789653,4.241659129222258
2,cpu,599999,decrypt,1758291.0,7.590871335940001,1918473.0,7.777913084210001,2.464035286495046,9.11009611037081
2,cpu,1199999,decrypt,1925025.0,3.3441151531820004,2205767.0,3.379697388368,1.0640254164735474,14.58381059986234
2,cpu,299999,encrypt,1686014.0,15.59982303789,1750300.0,16.055504117199998,2.921065695445436,3.8128983507847507
2,cpu,399999,encrypt,1712113.0,11.59061520651,1785110.0,12.0475323758,3.9421304318114787,4.263562042925905
2,cpu,599999,encrypt,1758283.0,7.654578558014999,1905069.0,7.58723480987,-0.879783878819622,8.348257931174901
2,cpu,1199999,encrypt,1924193.0,3.4289660291820003,2206103.0,3.377693880432,-1.4952655790011302,14.650817251699804
2,cpu,299999,gzip-1,1697545.4545454546,18.83163678488,1789744.0559440565,19.1080842402,1.4679948348513199,5.431289109326947
2,cpu,399999,gzip-1,1721908.0,14.23799310226,1803802.0,14.24581889218,0.05496413619387032,4.75600322433022
2,cpu,599999,gzip-1,1781767.0,9.40787805516,1948997.0,9.35025710368,-0.6124755353136733,9.38562674019667
2,cpu,1199999,gzip-1,1947062.0,4.29933455396,2283795.0,4.278245109775001,-0.4905281019727578,17.294415894306393
2,cpu,299999,gzip-5,1697108.0,20.04838431315,1792868.0,20.18458118044,0.6793408643940773,5.642540132979162
2,cpu,399999,gzip-5,1721510.0,14.882780923360002,1803382.0,15.08608023856,1.3660035462922029,4.7558248282031474
2,cpu,599999,gzip-5,1780953.0,9.784886617207144,1948549.0,9.64558203071,-1.4236709319878094,9.410467317217243
2,cpu,1199999,gzip-5,1945468.0,4.70509567622,2281739.0,4.1445853363800005,-11.912836176166874,17.284838403921317
2,cpu,299999,gzip-9,1696988.0,19.92610356395,1791400.0,20.1892758802,1.3207414856867792,5.563504279346701
2,cpu,399999,gzip-9,1721895.0,14.8174230265,1803190.0,15.083059916899998,1.7927333917977746,4.7212518765662255
2,cpu,599999,gzip-9,1780235.0,9.55501403335333,1949637.0,9.74115745638,1.948122968494921,9.515710004578047
2,cpu,1199999,gzip-9,1945838.0,4.73699995302,2279371.0,4.145866993485,-12.479057745359116,17.14084111832537
2,cpu,299999,hash,1694260.7392607392,11.21846635133,1762960.0,11.27105223552,0.4687439668058165,4.0548222093157005
2,cpu,399999,hash,1718088.0,8.309655824905,1803018.0,8.355394992139999,0.5504339553740952,4.943285792113093
2,cpu,599999,hash,1767174.0,5.3088756346866655,1924285.0,5.318632713726667,0.18378805064205544,8.890522382063114
2,cpu,1199999,hash,1915975.0,2.230569726351429,2232415.0,2.2016364973529403,-1.2971228227783285,16.515873119430054
2,cpu,299999,idle,1612692.0,0.0,1611400.0,0.0,0.0,-0.08011449179384532
2,cpu,399999,idle,1616637.0,0.0,1618454.0,0.0,0.0,0.11239381506176092
2,cpu,599999,idle,1615345.0,0.0,1621317.0,0.0,0.0,0.36970430465318554
2,cpu,1199999,idle,1622826.0,0.0,1636175.0,0.0,0.0,0.8225774050945696
3,cpu,299999,cachekiller,2054924.075924076,3.239729169052,2405416.0,2.199189522668571,-32.1181059306852,17.056198240234828
3,cpu,399999,cachekiller,2133124.0,3.2717950519137937,2502294.0,2.3301384386142856,-28.781039104166943,17.306541954429278
